RNK,TITLE,RATE,DIRECTOR,YEAR,MAIN GENRE,SUB-GENRE,GENRE,GENRE_name,sub
1,The Prestige,10,Christopher Nolan,2006,Mystery,Sci-Fi,1,Mystery,Mystery
2,Scarface,9,Brian De Palma,1983,Drama,Crime,2,Drama,Drama
3,Inception,9,Christopher Nolan,2010,Sci-Fi,Adventure,3,Sci-Fi,Sci-Fi
4,Cars,9,John Lasseter,2006,Animation,Sport,4,Animation,Animation
5,Rush,9,Ron Howard,2013,Biography,Sport,5,Biography,Biography
6,Interstellar,9,Christopher Nolan,2014,Sci-Fi,Adventure,3,Crime,Crime
7,Predestination,9,Michal Spierig,2014,Sci-Fi,Drama,3,Romance,Romance
8,The Godfather,9,Francis Ford Coppola,1972,Drama,Crime,2,Action,Action
9,The Wolf Of Wall Street,9,Martin Scorsese,2013,Biography,Drama,5,Fantastic,Fantastic
10,Pulp Fiction,9,Quentin Tarantino,1994,Crime,Drama,6,Comedy,Comedy
11,Drive,9,Nicolas Winding Refn,2011,Drama,Crime,2,Adventure,Adventure
12,Ford V Ferrari,9,James Mangold,2019,Biography,Sport,5,Thriller,Thriller
13,Memento,9,Christopher Nolan,2000,Mystery,Thriller,1,,Sport
14,The Matrix,9,Lana Wachowski,1999,Sci-Fi,Action,3,,Music
15,Shutter Island,9,Martin Scorsese,2010,Mystery,Thriller,1,,History
16,Bohemian Rhapsody,9,Bryan Singler,2018,Biography,Music,5,,
17,Eternal Sunshine of the Spotless Mind,9,Michael Gondry,2004,Romance,Sci-Fi,7,,
18,Good Will Hunting,8,Gus Van Sant,1997,Drama,Romance,2,,
19,Batman Begins,8,Christopher Nolan,2005,Action,Adventure,8,,
20,The Social Network,8,David Fincher,2010,Biography,Drama,5,,
21,Taxi Driver,8,Martin Scorsese,1976,Drama,Crime,2,,
22,Se7en,8,David Fincher,1995,Mystery,Crime,1,,
23,Tenet,8,Christopher Nolan,2020,Sci-Fi,Action,3,,
24,Hacksaw Ridge,8,Mel Gibson,2016,Biography,History,5,,
25,American Psycho,8,Mary Harron,2000,Crime,Drama,6,,
26,The Machinist,8,Brad Anderson,2004,Drama,Thriller,2,,
27,Fight Club,8,David Fincher,1999,Drama,Epic,2,,
28,Green Book,8,Peter Farelly,2018,Biography,Drama,5,,
29,The Pianist,8,Roman Polanski,2002,Biography,Drama,5,,
30,The Dark Knight,8,Christopher Nolan,2008,Action,Adventure,8,,
31,Vice,8,Adam McKay,2018,Biography,Drama,5,,
32,Joker,8,Todd Phillips,2019,Crime,Thriller,6,,
33,Django: Unchained,8,Quentin Tarantino,2012,Drama,Western,2,,
34,One Day,8,Lone Scherfig,2011,Drama,Romance,2,,
35,Spider-Man 3: No Way Home,8,Jon Watts,2021,Fantastic,Action,9,,
36,Stalker,8,Andrei Tarkovski,1979,Drama,Sci-Fi,2,,
37,Rocky,8,John G. Avildsen,1976,Drama,Sport,2,,
38,The Martian,8,Ridley Scott,2015,Sci-Fi,Adventure,3,,
39,There Will Be Blood,8,Paul Thomas Anderson,2007,Drama,Epic,2,,
40,The Hateful Eight,8,Quentin Tarantino,2015,Mystery,Crime,1,,
41,The Big Short,8,Adam McKay,2015,Biography,Drama,5,,
42,The Dark Knight Rises,8,Christopher Nolan,2012,Action,Adventure,8,,
43,The Avengers 3: Infinity War,8,Joe Russo,2018,Fantastic,Action,9,,
44,The Avengers 4: Endgame,8,Joe Russo,2019,Fantastic,Action,9,,
45,Forrest Gump,8,Robert Zemeckis,1994,Drama,Romance,2,,
46,American History X,8,Tony Kaye,1998,Drama,Epic,2,,
47,Catch Me If You Can,8,Steven Spielberg,2002,Biography,Crime,5,,
48,The Usual Suspects,8,Bryan Singler,1995,Mystery,Crime,1,,
49,The Irishman,8,Martin Scorsese,2019,Biography,Crime,5,,
50,Moneyball,8,Bennett Miller,2011,Biography,Sport,5,,
51,Hostiles,8,Scott Cooper,2017,Drama,Western,2,,
52,The Truman Show,8,Peter Weir,1998,Drama,Comedy,2,,
53,Velvet Goldmine,8,Todd Haynes,1998,Drama,Music,2,,
54,The Batman,8,Matt Reeves,2022,Action,Crime,8,,
55,The Godfather: Part II,8,Francis Ford Coppola,1974,Drama,Crime,2,,
56,No Country for Old Men,8,Ethan Cohen,2007,Crime,Thriller,6,,
57,Mr. Nobody,8,Jaco van Dormael,2009,Drama,Romance,2,,
58,The Butterfly Effect,8,Eric Bress,2004,Drama,Sci-Fi,2,,
59,Raging Bull,8,Martin Scorsese,1980,Biography,Sport,5,,
60,The Devil Wears Prada,8,David Frankel,2006,Comedy,Drama,10,,
61,Kick-Ass,8,Matthew Vaughn,2010,Action,Comedy,8,,
62,Spider-Man: Into the Spider-Verse,8,Phil Lord,2018,Animation,Fantastic,4,,
63,The Clockwork Orange,7,Stanley Kubrick,1971,Crime,Drama,6,,
64,Oldboy,7,Park Chan-Wook,2003,Drama,Mystery,2,,
65,Who Am I,7,Baran bo Odar,2014,Mystery,Crime,1,,
66,Whiplash,7,Damien Chazelle,2014,Drama,Music,2,,
67,Dallas Buyers Club,7,Jean-Marc Valée,2013,Biography,Drama,5,,
68,Dune,7,Denis Villeneuve,2021,Sci-Fi,Adventure,3,,
69,Dunkirk,7,Christopher Nolan,2017,Drama,History,2,,
70,The Imitation Game,7,Morten Tyldum,2014,Biography,Drama,5,,
71,American Hustle,7,David Owen Russell,2013,Drama,Crime,2,,
72,Little Women,7,Gillian Armstrong,1994,Drama,Romance,2,,
73,Les Misérables,7,Tom Hooper,2012,Drama,Romance,2,,
74,Dumb And Dumber,7,Peter Farelly,1994,Comedy,Buddy,10,,
75,The Hangover,7,Todd Phillips,2009,Comedy,Buddy,10,,
76,Spider-Man: Homecoming,7,Jon Watts,2017,Fantastic,Action,9,,
77,Once Upon A Time... In Holywood,7,Quentin Tarantino,2019,Drama,Comedy,2,,
78,Zodiac,7,David Fincher,2007,Mystery,Crime,1,,
